YLR378C	GO:0005784
YDL088C	GO:0005643
YEL020W-A	GO:0042721
YOR261C	GO:0034515
YOR290C	GO:0016514
YJR102C	GO:0000814
YJR064W	GO:0005832
YBL025W	GO:0000500
YCL016C	GO:0031390
YGR108W	GO:0000307
YLR417W	GO:0000814
YCL010C	GO:0000124
YKR026C	GO:0032045
YDR224C	GO:0031298
YLR135W	GO:0033557
YLR207W	GO:0000838
YGR166W	GO:0030008
YBL054W	GO:0070210
YMR061W	GO:0005849
YBR253W	GO:0016592
YGR008C	GO:0005753
YER164W	GO:0046695
YCR035C	GO:0000177
YBR123C	GO:0000127
YMR047C	GO:0005643
YGL011C	GO:0019773
YDR212W	GO:0005832
YCR093W	GO:0030015
YPL022W	GO:0000110
YAL030W	GO:0031201
YFL037W	GO:0005881
YCL029C	GO:0000778
YML100W	GO:0005946
YAR002W	GO:0005643
YKL089W	GO:0000778
YHR166C	GO:0005680
YDR279W	GO:0032299
YKR068C	GO:0030008
YJR007W	GO:0005850
YHR005C-A	GO:0042719
YDL140C	GO:0005666
YFR050C	GO:0034515
YBR156C	GO:0032133
YEL037C	GO:0000502
YOL013C	GO:0000839
YPL129W	GO:0005674
YOR260W	GO:0032045
YDR488C	GO:0005881
YPR131C	GO:0031416
YNR010W	GO:0016592
YDR322C-A	GO:0000276
YML092C	GO:0019773
YGL216W	GO:0005881
YBR135W	GO:0000307
YGL019W	GO:0034456
YDR028C	GO:0000164
YGR186W	GO:0005674
YPR103W	GO:0034515
YNL271C	GO:0000133
YER090W	GO:0005950
YDR363W-A	GO:0034515
YGL060W	GO:0000778
YLR207W	GO:0034099
YKL058W	GO:0005672
YGR063C	GO:0032044
YMR135C	GO:0034657
YDR386W	GO:0048476
YKL019W	GO:0005953
YKL025C	GO:0031251
YOL094C	GO:0031391
YOR123C	GO:0016593
YPL139C	GO:0033698
YJR084W	GO:0008180
YFL037W	GO:0045298
YNL299W	GO:0031499
YER008C	GO:0000145
YOR189W	GO:0031011
YFR046C	GO:0000776
YPL129W	GO:0005669
YGR253C	GO:0034515
YBL063W	GO:0005876
YMR314W	GO:0019773
YDR298C	GO:0005753
YDR292C	GO:0005785
YPR181C	GO:0030127
YGR104C	GO:0016592
YOL148C	GO:0005667
YDL111C	GO:0000176
YMR224C	GO:0030870
YOR259C	GO:0008540
YNL330C	GO:0070210
YLR291C	GO:0032045
YPL082C	GO:0016586
YPL232W	GO:0031201
YBR118W	GO:0005853
YBL045C	GO:0005750
YMR168C	GO:0000778
YOR005C	GO:0032807
YJL176C	GO:0016514
YDL076C	GO:0033698
YLL004W	GO:0005664
YPR056W	GO:0000112
YML055W	GO:0005787
YNL312W	GO:0005662
YER111C	GO:0033309
YNL026W	GO:0001401
YML085C	GO:0045298
YOL004W	GO:0070210
YPL237W	GO:0005850
YCL039W	GO:0034657
YNL290W	GO:0031389
YLR025W	GO:0000815
YJR044C	GO:0034424
YNL113W	GO:0005736
YBR198C	GO:0046695
YKR026C	GO:0005851
YDL040C	GO:0031415
YPR024W	GO:0031942
YER083C	GO:0043529
YOR026W	GO:0033597
YOL069W	GO:0005876
YER012W	GO:0022624
YDL140C	GO:0016592
YJR121W	GO:0005754
YJR121W	GO:0045261
YJR068W	GO:0031391
YPR018W	GO:0033186
YBL099W	GO:0045261
YKL138C-A	GO:0042729
YPR023C	GO:0000123
YDR424C	GO:0005881
YOL038W	GO:0019773
YDR227W	GO:0005677
YPL045W	GO:0030897
YPR056W	GO:0005675
YFR004W	GO:0034515
YNL278W	GO:0030014
YPL268W	GO:0000778
YLR045C	GO:0000778
YOR358W	GO:0016602
YDR377W	GO:0000276
YLR086W	GO:0000799
YGR186W	GO:0005665
YGL115W	GO:0031588
YBL041W	GO:0034515
YNL052W	GO:0005751
YBL050W	GO:0031201
YNL172W	GO:0005680
YPL065W	GO:0000813
YOR045W	GO:0005742
YML121W	GO:0034449
YDL165W	GO:0030015
YKR025W	GO:0005666
YGL095C	GO:0031201
YLR254C	GO:0005881
YJL069C	GO:0034388
YIL068C	GO:0000145
YBL014C	GO:0070860
YBR087W	GO:0031389
YOR054C	GO:0071513
YDL145C	GO:0030126
YGR048W	GO:0034098
YKL049C	GO:0000776
YOR326W	GO:0031475
YMR089C	GO:0005745
YKL190W	GO:0005955
YBL023C	GO:0031298
YER133W	GO:0000778
YLR045C	GO:0000776
YDR060W	GO:0030690
YER022W	GO:0016592
YLR342W	GO:0000148
YPR190C	GO:0005666
YJR033C	GO:0016471
YDR469W	GO:0048188
YMR197C	GO:0031201
YGR128C	GO:0034455
YDR201W	GO:0000778
YDR211W	GO:0005851
YML010W	GO:0016591
YHR119W	GO:0048188
YOL133W	GO:0019005
YOL142W	GO:0000177
YOL146W	GO:0000811
YMR167W	GO:0032390
YGL093W	GO:0000778
YOR259C	GO:0031597
YOR276W	GO:0005845
YDL232W	GO:0008250
YGL145W	GO:0070939
YPL233W	GO:0000776
YBR107C	GO:0000942
YPR072W	GO:0030015
YML041C	GO:0000812
YFL013C	GO:0031011
YMR127C	GO:0033255
YKL196C	GO:0031201
YMR231W	GO:0030897
YMR117C	GO:0000778
YPL086C	GO:0033588
YBR170C	GO:0034098
YGR095C	GO:0000176
YHR098C	GO:0030127
YGR261C	GO:0030123
YDR255C	GO:0034657
YPL122C	GO:0000112
YJL058C	GO:0031932
YOL017W	GO:0016585
YBR211C	GO:0000817
YPL046C	GO:0000113
YGR252W	GO:0046695
YMR048W	GO:0031298
YNR024W	GO:0000176
YGL048C	GO:0008540
YGL233W	GO:0000145
YJR093C	GO:0005847
YLR039C	GO:0034066
YDR159W	GO:0005643
YOR224C	GO:0005665
YJL076W	GO:0030869
YGR009C	GO:0031201
YIL126W	GO:0016586
YIL084C	GO:0070210
YDL028C	GO:0000778
YDR059C	GO:0000502
YJL001W	GO:0034515
YHR052W	GO:0000502
YMR227C	GO:0000124
YGL020C	GO:0043529
YOL135C	GO:0016592
YKL052C	GO:0000778
YOL090W	GO:0032302
YDR362C	GO:0000127
YIL115C	GO:0005643
YGR113W	GO:0000778
YLR183C	GO:0070210
YMR115W	GO:0031942
YJR063W	GO:0005736
YOL021C	GO:0000177
YDL005C	GO:0016592
YOR132W	GO:0030904
YML124C	GO:0005828
YPR162C	GO:0005664
YEL020W-A	GO:0042719
YKL182W	GO:0005835
YFR037C	GO:0016586
YCR033W	GO:0034967
YKL007W	GO:0005884
YPL001W	GO:0000123
YGL016W	GO:0005643
YGL150C	GO:0031011
YOR136W	GO:0005962
YOL129W	GO:0034424
YCL044C	GO:0031942
YDR079C-A	GO:0000439
YGL216W	GO:0005871
YOR151C	GO:0005665
YJR137C	GO:0009337
YPL181W	GO:0033698
YOR132W	GO:0030905
YLR097C	GO:0019005
YDR176W	GO:0000124
YDR416W	GO:0000974
YDL017W	GO:0031431
YPR031W	GO:0033100
YJL081C	GO:0031011
YBR193C	GO:0016592
YPL259C	GO:0030121
YDR086C	GO:0071261
YBL006C	GO:0016586
YBR202W	GO:0042555
YDR178W	GO:0005749
YOR194C	GO:0005672
YCL031C	GO:0034456
YOR144C	GO:0031391
YFR004W	GO:0008541
YGL155W	GO:0005953
YBR188C	GO:0000974
YKL018W	GO:0048188
YJL053W	GO:0030904
YBR171W	GO:0031207
YHR099W	GO:0070209
YCR086W	GO:0033551
YEL002C	GO:0008250
YOR213C	GO:0033255
YKL203C	GO:0031932
YGR252W	GO:0000124
YPL195W	GO:0030123
YDL140C	GO:0005665
YKR101W	GO:0005677
YBR081C	GO:0000124
YOL013C	GO:0000838
YOR080W	GO:0019005
YPL122C	GO:0005675
YDR318W	GO:0000778
YDR495C	GO:0033263
YOR110W	GO:0000127
YOR261C	GO:0008541
YNL290W	GO:0031390
YOR299W	GO:0034044
YBL002W	GO:0031298
YBR107C	GO:0000817
YDR016C	GO:0042729
YDL077C	GO:0033263
YGL223C	GO:0017119
YGR253C	GO:0019773
YGR274C	GO:0005669
YHL019C	GO:0030121
YPL155C	GO:0005881
YJL166W	GO:0005750
YML043C	GO:0070860
YOR290C	GO:0016586
YJL081C	GO:0000812
YOL110W	GO:0031211
YGR158C	GO:0000176
Q0275	GO:0005751
YPL231W	GO:0005835
YFL022C	GO:0009328
YML015C	GO:0005669
YDR390C	GO:0031510
YOR244W	GO:0032777
YER147C	GO:0032116
YFR019W	GO:0070772
YBR004C	GO:0031501
YOL094C	GO:0031390
YPL254W	GO:0005671
YDR245W	GO:0000136
YMR223W	GO:0000124
YKR036C	GO:0030014
YNL006W	GO:0031931
YPL204W	GO:0033551
YGR002C	GO:0000123
YEL032W	GO:0042555
YBR039W	GO:0005756
YKR082W	GO:0031080
YML085C	GO:0005881
YMR227C	GO:0070461
YPL271W	GO:0005756
YOR206W	GO:0030691
YDL111C	GO:0000177
YHR090C	GO:0035267
YGL131C	GO:0070211
YOR039W	GO:0034456
YMR153W	GO:0005643
YML085C	GO:0005828
YBR103W	GO:0070210
YDL134C	GO:0000159
YML052W	GO:0032126
YBR143C	GO:0018444
YML010W	GO:0008023
YFR021W	GO:0070772
YKL019W	GO:0005965
YDR201W	GO:0042729
YGR113W	GO:0005828
YDL115C	GO:0016591
YGR156W	GO:0005847
YER178W	GO:0005967
YHL002W	GO:0033565
YOR026W	GO:0000778
YDR328C	GO:0043291
YER054C	GO:0000164
YER171W	GO:0000439
YCR042C	GO:0005669
YJL026W	GO:0005971
YOR270C	GO:0033178
YOL018C	GO:0031201
YDR080W	GO:0030897
YDR121W	GO:0008623
YGL086W	GO:0000776
YPL271W	GO:0045261
YJR045C	GO:0001405
YIR010W	GO:0000776
YPR110C	GO:0005736
YMR146C	GO:0005852
YDL148C	GO:0030692
YNL158W	GO:0031501
YJR068W	GO:0031390
YLR182W	GO:0030907
YNL059C	GO:0031011
YDR367W	GO:0070916
YLR295C	GO:0000276
YOL001W	GO:0000307
YGL244W	GO:0016593
YDR356W	GO:0000777
YIL035C	GO:0034456
YPR141C	GO:0005881
YLR459W	GO:0042765
YIL030C	GO:0000837
YLR170C	GO:0030121
YNL071W	GO:0005967
YGR188C	GO:0000776
YGR078C	GO:0016272
YOL148C	GO:0016591
YPL254W	GO:0046695
YBR233W-A	GO:0042729
YKL144C	GO:0005666
YNL121C	GO:0005742
YIL076W	GO:0030126
YLR105C	GO:0000214
YDR477W	GO:0031588
YGR120C	GO:0017119
YDR356W	GO:0000778
YMR227C	GO:0005669
YNR006W	GO:0033565
YJR135W-A	GO:0042719
YBR095C	GO:0070210
YFL037W	GO:0005828
YKL057C	GO:0005643
YGL201C	GO:0031298
YNL330C	GO:0033698
YOL004W	GO:0070822
YBR234C	GO:0005885
YPL063W	GO:0005744
YPL235W	GO:0031011
YKL018W	GO:0005847
YLR085C	GO:0000812
YAL003W	GO:0005853
YDR027C	GO:0000938
YDR069C	GO:0000502
YJR086W	GO:0005834
YDR167W	GO:0005669
YJL184W	GO:0000408
YBR202W	GO:0031298
YOL077W-A	GO:0000276
YHR143W-A	GO:0005665
YKL013C	GO:0005885
YGR103W	GO:0070545
YNL070W	GO:0005742
YNL309W	GO:0070822
YJL031C	GO:0005968
YDR429C	GO:0005852
YNL253W	GO:0000347
YBR114W	GO:0031463
YNL253W	GO:0000446
YBL099W	GO:0005754
YPR103W	GO:0031597
YNL290W	GO:0005663
YJL085W	GO:0000145
YHR015W	GO:0005643
YNL271C	GO:0005884
YOL006C	GO:0031298
YOL142W	GO:0000176
YOR295W	GO:0000500
YEL061C	GO:0005876
YKR072C	GO:0071513
YGL100W	GO:0031080
YER164W	GO:0008023
YDR228C	GO:0005849
YPL152W	GO:0000159
YPL042C	GO:0005667
YBR229C	GO:0017177
YCL029C	GO:0005876
YOR069W	GO:0030904
YLR240W	GO:0034272
YLR246W	GO:0031211
YPL129W	GO:0016514
YAL044C	GO:0005960
YGR095C	GO:0000177
YER171W	GO:0000112
YKR054C	GO:0005881
YDR422C	GO:0031588
YEL003W	GO:0016272
YKL052C	GO:0042729
YLR240W	GO:0034271
YGL245W	GO:0017102
YDL147W	GO:0034515
YLR039C	GO:0032045
YML031W	GO:0005643
YBR103W	GO:0034967
YNL288W	GO:0030015
YML010W	GO:0032044
YLR360W	GO:0034272
Q0080	GO:0000276
YJR140C	GO:0000417
YOR341W	GO:0005736
YPL164C	GO:0032390
YGL112C	GO:0000124
YML104C	GO:0005882
YDR167W	GO:0005671
YMR168C	GO:0031518
YGL207W	GO:0031298
YNL136W	GO:0035267
YJR135C	GO:0000778
YPL076W	GO:0000506
YJL138C	GO:0016281
YFR013W	GO:0016587
YKL141W	GO:0005749
YDR137W	GO:0032045
YNL273W	GO:0031298
YML023C	GO:0030915
YDR260C	GO:0005680
YDL042C	GO:0030869
YDL076C	GO:0070210
YDL207W	GO:0005643
YPL046C	GO:0031463
YOL148C	GO:0000124
YOL090W	GO:0032301
YDL126C	GO:0000837
YLR384C	GO:0033588
YLR026C	GO:0031201
Q0250	GO:0005751
YDR334W	GO:0000812
YDR166C	GO:0000145
YOL021C	GO:0000176
YMR255W	GO:0005643
YDR328C	GO:0019005
YDR201W	GO:0005876
YBR102C	GO:0000145
YMR312W	GO:0033588
YGR002C	GO:0035267
YGR102C	GO:0030956
YIL062C	GO:0005885
YML029W	GO:0000839
YNL309W	GO:0030907
YER110C	GO:0005643
YGL092W	GO:0005643
YEL051W	GO:0000221
YNL097C	GO:0033698
YGL187C	GO:0005751
YDR073W	GO:0016514
YLR321C	GO:0016586
YFL039C	GO:0031011
YDR211W	GO:0032045
YOL005C	GO:0005665
YJL149W	GO:0019005
YOR151C	GO:0005666
YLR045C	GO:0005876
YPR107C	GO:0005847
YNL025C	GO:0016592
YMR294W	GO:0005869
YFL024C	GO:0035267
YOL009C	GO:0032865
YBR278W	GO:0008622
YHR039C-A	GO:0000221
YLR018C	GO:0070762
YGR140W	GO:0000778
YGR193C	GO:0005967
YHR081W	GO:0000176
YBR070C	GO:0043541
YML092C	GO:0034515
YJL081C	GO:0035267
YPL151C	GO:0000974
YDR443C	GO:0016592
YDR148C	GO:0009353
YNL030W	GO:0000123
YJR033C	GO:0043291
YLR418C	GO:0016593
YDR295C	GO:0070823
YJR033C	GO:0033176
YPL010W	GO:0030126
YHR099W	GO:0046695
YER133W	GO:0000164
YCL029C	GO:0000776
YNL136W	GO:0000123
YBR195C	GO:0033186
YEL019C	GO:0030915
YGR183C	GO:0005750
YKL203C	GO:0031931
YPL254W	GO:0000124
YDR130C	GO:0005882
YOR039W	GO:0032545
YPL233W	GO:0000818
YPR036W	GO:0000221
YPL017C	GO:0005874
YNL290W	GO:0031391
YGL201C	GO:0042555
YGR033C	GO:0005744
YBR195C	GO:0005677
YIL017C	GO:0034657
YML062C	GO:0000445
YOR065W	GO:0005750
YER145C	GO:0033573
YOR038C	GO:0000417
YDR498C	GO:0031201
YLR060W	GO:0009328
YJR042W	GO:0005643
YGR158C	GO:0000177
YDR311W	GO:0000439
YDR359C	GO:0035267
YOR210W	GO:0005665
YBR128C	GO:0034271
YKL059C	GO:0005847
YKL185W	GO:0070210
YBL063W	GO:0005871
YMR228W	GO:0034245
YMR075W	GO:0000118
YGL105W	GO:0017102
YLR005W	GO:0005675
YNL311C	GO:0000151
YJR058C	GO:0030122
YPL018W	GO:0000778
YMR005W	GO:0005669
YGR134W	GO:0030015
YFL039C	GO:0035267
YPR029C	GO:0030121
YER019C-A	GO:0071261
YLR368W	GO:0019005
YGL066W	GO:0046695
YPL180W	GO:0031931
YLR192C	GO:0005852
YEL018W	GO:0035267
YLR320W	GO:0035361
YDR080W	GO:0033263
YLL023C	GO:0005643
YJL030W	GO:0005643
YPL234C	GO:0000220
YER125W	GO:0000151
YGR083C	GO:0005851
YMR284W	GO:0043564
YAL001C	GO:0000127
YJR089W	GO:0032133
YPR164W	GO:0035361
YER018C	GO:0031262
YOR253W	GO:0031415
YDR221W	GO:0017177
YNL075W	GO:0034457
YKR095W	GO:0046930
YBR198C	GO:0000124
YOR061W	GO:0005956
YOR058C	GO:0005880
YJR042W	GO:0031080
YIL097W	GO:0034657
YGR206W	GO:0000813
YHR056C	GO:0016586
YOL145C	GO:0016593
YBR077C	GO:0034448
YDR086C	GO:0005784
YOL072W	GO:0005643
YHR200W	GO:0008540
YER157W	GO:0017119
YGL019W	GO:0005956
YBR097W	GO:0034271
YJL111W	GO:0005832
YMR296C	GO:0017059
YNL082W	GO:0032389
YFL008W	GO:0034990
YMR167W	GO:0032389
YOL004W	GO:0032221
YKL022C	GO:0005680
YAL010C	GO:0001401
YDR121W	GO:0008622
YLR033W	GO:0016586
YOR157C	GO:0034515
YJL013C	GO:0033597
YBR231C	GO:0000812
YOL038W	GO:0034515
YPR108W	GO:0034515
YBR045C	GO:0000164
YDR381W	GO:0000346
YML085C	GO:0005827
YKL186C	GO:0042272
YMR153W	GO:0031015
YDR356W	GO:0000776
YMR150C	GO:0042720
YLR447C	GO:0000220
YGL237C	GO:0016602
YER018C	GO:0000778
YER059W	GO:0000307
YDR392W	GO:0016591
YPR046W	GO:0000778
YPR025C	GO:0070985
YIL038C	GO:0030015
YML124C	GO:0045298
YLR055C	GO:0000124
YGL094C	GO:0031251
YAL011W	GO:0000812
YDR202C	GO:0043291
YNL030W	GO:0016585
YLR226W	GO:0000307
YPR010C	GO:0005736
YLR208W	GO:0030127
YKL016C	GO:0000274
YKL186C	GO:0005643
YGL093W	GO:0000776
YJL061W	GO:0005643
YLR071C	GO:0016592
YGR180C	GO:0005971
YML065W	GO:0005664
YCR033W	GO:0070210
YOR195W	GO:0000778
YJL014W	GO:0005832
YBR156C	GO:0005876
